1,2,layer,prompt_id
0.1334228515625,-0.49951171875,0,p001
-1.3994140625,-1.5673828125,1,p001
-1.55078125,-1.6650390625,2,p001
-1.81640625,-0.9716796875,3,p001
-0.499267578125,1.4365234375,4,p001
1.595703125,2.7734375,5,p001
0.888671875,1.10546875,6,p001
1.658203125,1.5537109375,7,p001
1.9072265625,2.326171875,8,p001
0.80712890625,0.69873046875,9,p001
0.3759765625,-0.2890625,10,p001
1.224609375,0.2471923828125,11,p001
1.5244140625,1.2841796875,12,p001
0.7431640625,0.6708984375,13,p001
1.09765625,0.5029296875,14,p001
1.423828125,1.337890625,15,p001
0.91943359375,-0.7587890625,16,p001
3.3828125,0.88134765625,17,p001
4.375,1.8037109375,18,p001
2.888671875,1.845703125,19,p001
3.193359375,2.630859375,20,p001
2.943359375,1.55859375,21,p001
3.375,1.982421875,22,p001
4.19921875,2.796875,23,p001
2.984375,1.9208984375,24,p001
2.501953125,1.919921875,25,p001
2.216796875,1.32421875,26,p001
1.8837890625,1.4326171875,27,p001
1.9423828125,1.2568359375,28,p001
3.59375,2.755859375,29,p001
4.12109375,4.32421875,30,p001
4.76171875,5.2265625,31,p001
5.32421875,5.7578125,32,p001
10.5,10.5,33,p001
15.6015625,15.5859375,34,p001
17.96875,17.609375,35,p001
0.3203125,-0.4072265625,0,p002
-1.1845703125,-1.5087890625,1,p002
-1.3564453125,-1.7724609375,2,p002
-1.2763671875,-0.83837890625,3,p002
0.158935546875,1.7587890625,4,p002
2.416015625,3.318359375,5,p002
1.5283203125,1.3740234375,6,p002
2.2734375,1.98828125,7,p002
2.0859375,2.564453125,8,p002
0.9462890625,1.34765625,9,p002
-0.0943603515625,-0.08673095703125,10,p002
0.0694580078125,-0.4072265625,11,p002
1.22265625,1.439453125,12,p002
-0.06072998046875,-0.233154296875,13,p002
0.08526611328125,-0.2376708984375,14,p002
0.1424560546875,-0.0711669921875,15,p002
-0.376708984375,-1.912109375,16,p002
1.607421875,-0.09576416015625,17,p002
2.90234375,0.9169921875,18,p002
0.619140625,0.253662109375,19,p002
1.869140625,1.5068359375,20,p002
2.158203125,1.0126953125,21,p002
2.509765625,1.74609375,22,p002
3.5234375,2.873046875,23,p002
1.9501953125,1.9365234375,24,p002
1.8701171875,1.9892578125,25,p002
2.259765625,1.6669921875,26,p002
1.724609375,1.2646484375,27,p002
1.814453125,1.9267578125,28,p002
3.546875,3.822265625,29,p002
3.931640625,5.5078125,30,p002
4.50390625,6.32421875,31,p002
5.1171875,7.9921875,32,p002
11.140625,13.484375,33,p002
16.9375,19.28125,34,p002
18.015625,18.8125,35,p002
-0.1058349609375,-0.6005859375,0,p003
-1.6162109375,-1.5791015625,1,p003
-1.361328125,-1.3759765625,2,p003
-1.2099609375,-0.37060546875,3,p003
0.513671875,2.05859375,4,p003
1.9931640625,2.87109375,5,p003
1.5078125,1.4384765625,6,p003
3.345703125,3.48046875,7,p003
3.48828125,3.537109375,8,p003
2.19140625,2.22265625,9,p003
1.2109375,0.662109375,10,p003
2.64453125,1.78125,11,p003
1.80859375,1.6279296875,12,p003
0.54541015625,-0.1248779296875,13,p003
0.95703125,0.2225341796875,14,p003
1.310546875,1.19921875,15,p003
0.486572265625,-0.9033203125,16,p003
2.875,0.89892578125,17,p003
2.48828125,1.44140625,18,p003
2.052734375,1.708984375,19,p003
2.5390625,2.2890625,20,p003
3.638671875,3.6015625,21,p003
4.1015625,3.447265625,22,p003
4.5078125,3.611328125,23,p003
5.1171875,3.216796875,24,p003
2.96484375,1.5107421875,25,p003
2.705078125,0.83984375,26,p003
1.658203125,0.42138671875,27,p003
3.5546875,0.1981201171875,28,p003
7.66015625,2.267578125,29,p003
8.8046875,3.0625,30,p003
8.5859375,3.314453125,31,p003
10.8671875,3.734375,32,p003
12.25,5.203125,33,p003
14.578125,8.953125,34,p003
22.546875,18.34375,35,p003
-0.2308349609375,-0.65673828125,0,p004
-1.765625,-1.7138671875,1,p004
-1.2734375,-1.3359375,2,p004
-1.2724609375,-0.30810546875,3,p004
-0.10528564453125,1.9599609375,4,p004
1.8759765625,3.076171875,5,p004
1.384765625,1.333984375,6,p004
3.27734375,3.15625,7,p004
3.494140625,3.638671875,8,p004
2.318359375,2.56640625,9,p004
0.349609375,0.71875,10,p004
0.54150390625,0.03619384765625,11,p004
2.384765625,2.19140625,12,p004
1.5126953125,1.359375,13,p004
2.580078125,1.71875,14,p004
1.5458984375,1.5859375,15,p004
1.23046875,-0.427734375,16,p004
3.736328125,1.576171875,17,p004
3.8359375,1.634765625,18,p004
3.087890625,1.32421875,19,p004
3.478515625,2.017578125,20,p004
4.546875,3.326171875,21,p004
4.19140625,3.26171875,22,p004
3.13671875,2.203125,23,p004
3.736328125,2.193359375,24,p004
2.12890625,1.2255859375,25,p004
1.7431640625,1.1591796875,26,p004
0.82470703125,0.8291015625,27,p004
