prompt_id,layer,attn_to_1,attn_to_2,mlp_to_1,mlp_to_2,total_to_1,total_to_2
p017,35,46.8125,49.25,151.0,143.5,197.875,192.625
p018,18,0.6513671875,0.185546875,-0.67333984375,0.12322998046875,-0.020477294921875,0.31005859375
p018,25,-1.326171875,-0.212646484375,0.7119140625,0.69140625,-0.6162109375,0.475341796875
p018,33,13.359375,15.2734375,28.984375,28.796875,42.34375,44.09375
p018,34,46.03125,43.25,49.96875,68.25,96.0,111.5
p018,35,47.96875,53.125,155.625,158.0,203.625,211.125
p019,18,0.1551513671875,0.2861328125,-0.1422119140625,-0.03680419921875,0.0137786865234375,0.250244140625
p019,25,-3.306640625,-3.095703125,0.6318359375,1.4375,-2.677734375,-1.6591796875
p019,33,5.48046875,9.359375,27.875,26.75,33.34375,36.09375
p019,34,52.34375,49.5,32.3125,39.03125,84.6875,88.5625
p019,35,38.625,38.6875,106.0625,103.3125,144.625,142.0
p020,18,0.1070556640625,0.1290283203125,-0.61083984375,-0.4716796875,-0.50439453125,-0.343505859375
p020,25,-2.583984375,-2.494140625,0.6796875,1.0966796875,-1.9033203125,-1.3994140625
p020,33,9.671875,12.90625,35.53125,33.5,45.21875,46.40625
p020,34,62.875,59.46875,42.375,43.40625,105.25,102.875
p020,35,42.125,40.21875,131.125,126.6875,173.25,166.875
